# slug	object_id	title	artist	object_date	image_url
cloud-study-early-evening	438642	Cloud Study (Early Evening)	Simon Denis	ca. 1786-1806	https://images.metmuseum.org/CRDImages/ep/original/DP103066.jpg
study-of-clouds-david-cox	697200	Study of clouds	David Cox	1843-56	https://images.metmuseum.org/CRDImages/dp/original/DP854859.jpg
landscape-study-clouds-loubon	441755	Landscape Study with Clouds	Emile Loubon	1846-63	https://images.metmuseum.org/CRDImages/ep/original/DP281416.jpg
forest-winter-sunset	438816	The Forest in Winter at Sunset	Theodore Rousseau	1846-67	https://images.metmuseum.org/CRDImages/ep/original/DP-31520-001.jpg
moonrise-daubigny	336995	Moonrise	Charles-Francois Daubigny	1861	https://images.metmuseum.org/CRDImages/dp/original/DP822243.jpg
moonrise-harpignies	436632	Moonrise	Henri-Joseph Harpignies	1885	https://images.metmuseum.org/CRDImages/ep/original/DP238263.jpg
mont-sainte-victoire-viaduct	435877	Mont Sainte-Victoire and the Viaduct of the Arc River Valley	Paul Cezanne	1882-85	https://images.metmuseum.org/CRDImages/ep/original/DP-20099-001.jpg
mont-sainte-victoire	435878	Mont Sainte-Victoire	Paul Cezanne	ca. 1902-6	https://images.metmuseum.org/CRDImages/ep/original/77J_045R2M.jpg
nocturne-thames-battersea	337702	Nocturne (Nocturne: The Thames at Battersea)	James McNeill Whistler	1878	https://images.metmuseum.org/CRDImages/dp/original/DP813769.jpg
nocturne-whistler	337065	Nocturne	James McNeill Whistler	1879-80	https://images.metmuseum.org/CRDImages/dp/original/DP813608.jpg
nocturne-variation	372690	Nocturne	James McNeill Whistler	1879-80	https://images.metmuseum.org/CRDImages/dp/original/DP813607.jpg
